obs_id,truck_id,route,origin,destination,loaded,payload_t,total_distance_km,max_gradient_pct,surface_factor,shift_hour,congestion_level,failure_active,travel_time_min
26,T03,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,8.89,3,0,21.36
27,T07,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,10.4,4,0,24.94
28,T06,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,6.95,3,0,23.13
29,T08,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,10.32,1,0,18.78
30,T02,S3_CR,S3,CR,1,201.4,8.135,1.57,1.15,3.26,3,0,21.35
31,T03,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,8.58,0,0,21.01
32,T01,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,8.93,1,0,23.56
33,T09,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,10.98,1,0,20.46
34,T03,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,11.22,3,0,23.23
35,T04,S3_CR,S3,CR,1,186.1,8.135,1.57,1.15,1.44,1,0,21.65
36,T04,S1_CR,S1,CR,1,204.0,8.767,0.8,1.15,5.58,4,1,49.69
37,T05,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,11.33,6,0,25.63
38,T08,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,4.63,3,0,22.22
39,T02,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,8.18,2,0,22.41
40,T03,S4_D2,S4,D2,1,200.4,6.638,1.49,1.35,9.64,1,0,27.38
41,T07,S1_CR,S1,CR,1,185.8,8.767,0.8,1.15,3.0,3,0,30.03
42,T03,S3_D2,S3,D2,1,185.6,6.362,1.39,1.35,6.41,3,1,35.96
43,T05,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,4.26,4,0,25.29
44,T10,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,11.35,1,0,24.63
45,T10,S4_CR,S4,CR,1,199.9,9.692,1.49,1.15,8.47,6,0,33.89
46,T04,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,0.98,0,0,19.53
47,T10,S1_CR,S1,CR,1,173.9,8.767,0.8,1.15,11.37,3,0,25.76
48,T01,S2_CR,S2,CR,1,218.6,8.334,1.39,1.15,1.33,1,0,27.76
49,T05,S2_CR,S2,CR,1,182.6,8.334,1.39,1.15,7.0,4,0,30.03
50,T08,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,6.65,8,0,27.44
51,T09,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,5.47,3,0,17.47
52,T03,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,11.83,2,0,22.82
53,T09,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,11.4,5,1,25.21
54,T05,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,9.95,1,1,18.47
55,T01,S4_CR,S4,CR,1,198.9,9.692,1.49,1.15,12.0,5,0,30.54
56,T07,S2_CR,S2,CR,1,181.9,8.334,1.39,1.15,10.54,1,0,26.13
57,T07,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,5.98,5,0,23.7
58,T03,S3_CR,S3,CR,1,220.0,8.135,1.57,1.15,7.44,2,1,23.93
59,T10,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,4.18,6,0,28.46
60,T03,S1_CR,S1,CR,1,190.8,8.767,0.8,1.15,11.76,2,0,25.7
61,T02,S3_D2,S3,D2,1,220.0,6.362,1.39,1.35,4.8,4,0,27.03
62,T02,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,2.69,2,1,24.82
63,T01,S1_CR,S1,CR,1,202.7,8.767,0.8,1.15,6.04,3,0,29.15
64,T06,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,8.98,1,0,21.22
65,T07,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,9.12,2,0,22.66
66,T09,S4_D2,S4,D2,1,183.2,6.638,1.49,1.35,6.39,3,0,27.75
67,T03,S1_CR,S1,CR,1,194.3,8.767,0.8,1.15,2.54,1,0,30.56
68,T10,S3_D2,S3,D2,1,208.2,6.362,1.39,1.35,5.98,4,0,27.42
69,T06,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,2.93,3,0,21.82
70,T03,S4_CR,S4,CR,1,212.8,9.692,1.49,1.15,1.05,1,0,26.73
71,T05,S2_CR,S2,CR,1,207.0,8.334,1.39,1.15,0.06,5,0,30.7
72,T06,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,11.62,2,0,18.54
73,T04,S3_CR,S3,CR,1,206.5,8.135,1.57,1.15,6.07,5,0,24.88
74,T03,S1_CR,S1,CR,1,179.8,8.767,0.8,1.15,1.67,0,0,30.82
75,T08,S1_CR,S1,CR,1,185.9,8.767,0.8,1.15,10.21,4,0,30.48
76,T10,S4_D2,S4,D2,1,200.3,6.638,1.49,1.35,9.54,1,0,27.32
77,T01,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,3.79,5,0,26.57
78,T06,S3_D2,S3,D2,1,176.8,6.362,1.39,1.35,6.38,1,0,23.97
79,T07,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,3.99,4,0,20.06
80,T08,S1_CR,S1,CR,1,210.1,8.767,0.8,1.15,0.4,3,0,28.88
81,T05,S3_CR,S3,CR,1,180.3,8.135,1.57,1.15,5.84,2,0,23.79
82,T10,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,2.18,3,0,24.15
83,T04,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,6.07,1,0,21.65
84,T08,S3_CR,S3,CR,1,205.9,8.135,1.57,1.15,11.07,1,0,19.1
85,T05,S3_D2,S3,D2,1,220.0,6.362,1.39,1.35,11.11,1,0,30.59
86,T06,S3_D2,S3,D2,1,202.9,6.362,1.39,1.35,8.93,2,0,29.07
87,T06,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,5.59,3,0,23.44
88,T10,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,6.93,1,0,20.58
89,T08,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,2.55,4,0,24.98
90,T03,S1_CR,S1,CR,1,179.1,8.767,0.8,1.15,4.77,5,0,28.87
91,T07,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,3.53,4,0,24.15
92,T03,S4_CR,S4,CR,1,184.3,9.692,1.49,1.15,9.04,3,0,30.48
93,T03,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,2.35,2,0,19.4
94,T07,S1_CR,S1,CR,1,220.0,8.767,0.8,1.15,9.66,5,0,31.77
95,T02,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,0.16,0,0,19.25
96,T05,S1_CR,S1,CR,1,220.0,8.767,0.8,1.15,9.81,1,0,25.16
97,T01,S3_CR,S3,CR,1,204.1,8.135,1.57,1.15,4.91,5,0,25.37
98,T06,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,0.27,2,0,22.95
99,T06,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,10.02,2,0,17.71
100,T09,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,6.65,3,0,22.4
101,T10,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,8.79,2,0,17.17
102,T10,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,2.0,1,0,23.72
103,T10,S3_CR,S3,CR,1,191.6,8.135,1.57,1.15,10.99,5,0,25.71
104,T08,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,6.48,4,0,21.14
105,T01,S1_CR,S1,CR,1,189.7,8.767,0.8,1.15,4.95,3,0,31.09
106,T05,S1_CR,S1,CR,1,186.1,8.767,0.8,1.15,11.4,1,0,28.38
107,T07,S1_CR,S1,CR,1,204.2,8.767,0.8,1.15,7.91,4,0,30.93
108,T08,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,6.82,2,0,22.41
109,T08,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,5.06,3,0,25.72
110,T02,S2_CR,S2,CR,1,214.5,8.334,1.39,1.15,6.73,5,0,34.16
111,T03,S1_CR,S1,CR,1,202.3,8.767,0.8,1.15,10.63,2,0,29.77
112,T09,S4_D2,S4,D2,1,195.7,6.638,1.49,1.35,11.98,2,0,28.76
113,T08,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,1.1,2,1,28.56
114,T08,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,3.56,1,1,27.41
115,T08,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,2.62,2,0,20.98
116,T02,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,5.61,5,0,22.38
117,T01,S3_D2,S3,D2,1,196.1,6.362,1.39,1.35,2.65,2,1,41.31
118,T05,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,10.77,3,0,22.31
119,T09,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,5.49,3,0,23.69
120,T05,S3_CR,S3,CR,1,192.2,8.135,1.57,1.15,8.82,1,1,27.58
121,T03,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,1.31,2,0,21.25
122,T09,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,6.86,6,0,24.62
123,T07,S3_CR,S3,CR,1,180.7,8.135,1.57,1.15,8.16,3,0,21.88
124,T01,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,9.82,2,0,21.84
125,T10,S3_D2,S3,D2,1,174.6,6.362,1.39,1.35,7.61,2,0,28.57
126,T01,S3_D2,S3,D2,1,193.6,6.362,1.39,1.35,7.59,4,0,29.43
127,T07,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,0.81,2,1,29.2
128,T03,S4_D2,S4,D2,1,200.7,6.638,1.49,1.35,9.86,2,1,33.75
129,T03,S3_D2,S3,D2,1,194.3,6.362,1.39,1.35,1.96,2,0,29.18
130,T10,S1_CR,S1,CR,1,214.7,8.767,0.8,1.15,11.56,0,0,23.96
131,T08,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,8.69,3,0,22.11
132,T09,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,2.23,6,1,37.52
133,T05,S4_CR,S4,CR,1,202.4,9.692,1.49,1.15,1.5,2,0,27.81
134,T02,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,9.57,2,0,22.05
135,T09,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,3.5,3,0,18.02
136,T02,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,7.42,2,0,17.08
137,T02,S1_CR,S1,CR,1,191.3,8.767,0.8,1.15,0.4,0,0,25.85
138,T06,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,6.81,3,0,19.84
139,T02,S3_D2,S3,D2,1,208.9,6.362,1.39,1.35,11.23,0,0,26.82
140,T04,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,9.62,2,0,22.61
141,T07,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,9.81,3,0,17.17
142,T10,S3_CR,S3,CR,1,187.1,8.135,1.57,1.15,7.9,3,0,22.43
143,T10,S2_CR,S2,CR,1,196.8,8.334,1.39,1.15,8.16,0,1,34.2
144,T09,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,5.11,3,0,22.95
145,T02,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,0.35,3,0,21.63
146,T10,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,10.03,2,0,20.23
147,T08,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,4.47,2,0,21.82
148,T01,S4_CR,S4,CR,1,182.3,9.692,1.49,1.15,4.31,2,0,28.93
149,T06,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,7.18,2,0,20.64
150,T05,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,5.39,5,0,26.6
151,T02,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,5.7,5,0,22.13
152,T05,S3_D2,S3,D2,1,205.9,6.362,1.39,1.35,0.47,0,0,25.82
153,T02,S4_D2,S4,D2,1,196.2,6.638,1.49,1.35,0.5,3,0,24.7
154,T02,S3_D2,S3,D2,1,171.8,6.362,1.39,1.35,6.26,3,0,28.99
155,T06,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,8.79,1,0,20.74
156,T10,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,7.94,2,0,22.17
157,T05,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,10.38,1,0,21.74
158,T04,S3_CR,S3,CR,1,206.3,8.135,1.57,1.15,6.93,3,0,22.02
159,T09,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,4.85,7,0,26.17
160,T06,S3_CR,S3,CR,1,178.6,8.135,1.57,1.15,4.75,3,0,20.44
161,T04,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,7.04,4,0,23.86
162,T03,S4_D2,S4,D2,1,177.3,6.638,1.49,1.35,9.18,3,0,27.63
163,T05,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,11.21,1,0,22.33
164,T10,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,8.04,3,0,23.87
165,T08,S3_D2,S3,D2,1,194.0,6.362,1.39,1.35,6.27,3,0,27.19
166,T07,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,5.09,2,0,23.34
167,T08,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,9.83,2,0,18.71
168,T07,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,4.24,2,0,21.9
169,T02,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,9.71,1,0,20.76
170,T10,S1_CR,S1,CR,1,186.2,8.767,0.8,1.15,2.6,0,1,37.36
171,T01,S3_D2,S3,D2,1,220.0,6.362,1.39,1.35,4.69,4,0,31.86
172,T07,S4_D2,S4,D2,1,186.7,6.638,1.49,1.35,11.9,0,0,26.54
173,T09,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,1.03,2,0,24.83
174,T02,S4_CR,S4,CR,1,195.5,9.692,1.49,1.15,0.81,2,0,26.32
175,T04,S2_CR,S2,CR,1,165.1,8.334,1.39,1.15,4.0,6,0,31.93
176,T01,S3_CR,S3,CR,1,203.1,8.135,1.57,1.15,2.41,1,0,19.63
177,T05,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,11.77,2,0,21.09
178,T06,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,7.48,2,0,23.69
179,T05,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,8.5,0,0,20.03
180,T04,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,11.24,2,0,21.16
181,T06,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,6.19,6,0,27.64
182,T02,S2_CR,S2,CR,1,190.6,8.334,1.39,1.15,9.48,1,0,28.11
183,T04,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,6.88,5,0,23.67
184,T04,S2_CR,S2,CR,1,183.0,8.334,1.39,1.15,5.74,2,0,28.62
185,T05,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,3.33,1,1,26.59
186,T07,S2_CR,S2,CR,1,171.6,8.334,1.39,1.15,2.3,1,0,24.79
187,T01,S2_CR,S2,CR,1,208.2,8.334,1.39,1.15,2.05,0,0,25.21
188,T04,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,7.6,2,0,21.86
189,T06,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,10.18,4,0,21.82
190,T07,S3_CR,S3,CR,1,193.9,8.135,1.57,1.15,0.13,2,0,20.87
191,T03,S3_CR,S3,CR,1,200.9,8.135,1.57,1.15,2.58,0,0,19.96
192,T08,S1_CR,S1,CR,1,203.7,8.767,0.8,1.15,6.58,3,0,31.41
193,T10,S2_CR,S2,CR,1,182.1,8.334,1.39,1.15,4.51,6,0,28.23
194,T07,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,0.46,5,0,24.77
195,T08,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,10.59,0,0,19.95
196,T04,S3_D2,S3,D2,1,193.9,6.362,1.39,1.35,8.95,2,1,33.31
197,T01,S4_D2,S4,D2,1,160.9,6.638,1.49,1.35,11.65,3,0,26.72
198,T04,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,9.23,2,0,22.11
199,T02,S3_D2,S3,D2,1,201.8,6.362,1.39,1.35,0.5,4,0,32.7
200,T04,S4_D2,S4,D2,1,182.6,6.638,1.49,1.35,4.51,2,0,27.59
201,T05,S3_CR,S3,CR,1,194.3,8.135,1.57,1.15,0.15,4,0,26.02
202,T02,S3_CR,S3,CR,1,175.6,8.135,1.57,1.15,0.65,2,0,21.88
203,T05,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,1.58,2,0,23.68
204,T10,S1_CR,S1,CR,1,205.9,8.767,0.8,1.15,6.1,6,0,31.35
205,T09,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,2.45,3,0,22.58
206,T03,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,6.29,3,0,24.51
207,T06,S4_CR,S4,CR,1,211.8,9.692,1.49,1.15,5.64,3,0,27.62
208,T01,S3_CR,S3,CR,1,189.6,8.135,1.57,1.15,0.02,1,0,20.26
209,T08,S4_CR,S4,CR,1,177.3,9.692,1.49,1.15,10.49,2,0,27.19
210,T03,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,7.19,1,0,22.34
211,T01,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,8.34,4,0,19.52
212,T06,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,4.46,2,0,22.19
213,T07,S1_CR,S1,CR,1,220.0,8.767,0.8,1.15,9.43,0,0,25.21
214,T10,S3_D2,S3,D2,1,200.3,6.362,1.39,1.35,1.98,5,1,40.66
215,T03,S2_CR,S2,CR,1,184.6,8.334,1.39,1.15,5.77,4,0,25.68
216,T10,S1_CR,S1,CR,1,190.9,8.767,0.8,1.15,11.07,1,0,26.09
217,T06,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,3.14,2,0,17.19
218,T09,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,1.88,1,0,23.29
219,T04,S3_CR,S3,CR,1,158.6,8.135,1.57,1.15,4.17,1,0,21.88
220,T10,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,6.72,2,0,23.37
221,T07,S3_CR,S3,CR,1,176.2,8.135,1.57,1.15,6.78,4,0,22.15
222,T01,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,6.73,4,0,18.18
223,T02,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,0.98,2,0,23.6
224,T03,S2_CR,S2,CR,1,208.6,8.334,1.39,1.15,7.81,1,0,26.93
225,T08,S1_CR,S1,CR,1,215.6,8.767,0.8,1.15,2.42,1,0,27.96
226,T10,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,10.53,3,0,25.36
227,T03,S1_CR,S1,CR,1,208.2,8.767,0.8,1.15,6.46,4,0,30.01
228,T10,S4_D2,S4,D2,1,196.7,6.638,1.49,1.35,3.45,5,0,27.1
229,T08,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,8.35,4,0,23.21
230,T02,S3_CR,S3,CR,1,188.9,8.135,1.57,1.15,8.79,5,0,22.45
231,T03,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,11.96,2,0,22.57
232,T06,S1_CR,S1,CR,1,187.1,8.767,0.8,1.15,11.68,1,0,25.66
233,T10,S2_CR,S2,CR,1,199.2,8.334,1.39,1.15,3.77,4,0,30.93
234,T03,S1_CR,S1,CR,1,186.5,8.767,0.8,1.15,4.18,4,0,29.41
235,T09,S1_CR,S1,CR,1,200.6,8.767,0.8,1.15,3.9,1,0,26.44
236,T03,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,2.73,3,0,22.01
237,T02,S3_D2,S3,D2,1,184.8,6.362,1.39,1.35,3.65,6,0,31.78
238,T04,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,4.55,2,0,24.85
239,T09,S1_CR,S1,CR,1,191.7,8.767,0.8,1.15,10.3,4,0,30.91
240,T01,S4_D2,S4,D2,1,203.5,6.638,1.49,1.35,7.62,2,0,30.91
241,T04,S3_D2,S3,D2,1,194.7,6.362,1.39,1.35,3.62,2,0,26.85
242,T01,S4_D2,S4,D2,1,209.3,6.638,1.49,1.35,10.71,1,0,29.18
243,T09,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,6.99,3,0,21.62
244,T10,S3_D2,S3,D2,1,198.6,6.362,1.39,1.35,8.03,5,0,30.66
245,T06,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,5.32,5,0,27.08
246,T10,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,5.85,6,0,24.62
247,T04,S4_D2,S4,D2,1,161.9,6.638,1.49,1.35,1.68,2,0,28.0
248,T04,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,7.09,2,0,20.65
249,T01,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,3.42,2,0,21.32
250,T03,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,6.38,2,0,23.45
251,T07,S4_D2,S4,D2,1,189.0,6.638,1.49,1.35,4.73,5,0,28.5
252,T02,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,9.85,0,0,20.67
253,T08,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,1.37,2,0,22.15
254,T10,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,10.8,1,0,24.15
255,T07,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,10.66,2,0,21.52
256,T10,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,2.06,6,0,24.02
257,T03,S3_CR,S3,CR,1,193.5,8.135,1.57,1.15,1.48,3,0,21.51
258,T10,S4_CR,S4,CR,1,220.0,9.692,1.49,1.15,6.51,4,0,28.57
259,T10,S4_D2,S4,D2,1,198.5,6.638,1.49,1.35,7.21,3,0,26.44
260,T01,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,4.55,0,0,19.96
261,T08,S1_CR,S1,CR,1,209.5,8.767,0.8,1.15,4.38,4,0,33.07
262,T10,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,6.07,2,1,27.38
263,T04,S3_CR,S3,CR,1,219.0,8.135,1.57,1.15,10.03,2,0,21.59
264,T07,S1_CR,S1,CR,1,197.3,8.767,0.8,1.15,4.63,2,0,31.25
265,T01,S2_CR,S2,CR,1,198.8,8.334,1.39,1.15,4.27,4,0,29.93
266,T03,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,7.0,3,0,24.62
267,T05,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,3.61,4,0,24.43
268,T05,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,8.67,2,0,23.37
269,T06,S1_CR,S1,CR,1,189.6,8.767,0.8,1.15,0.41,3,0,32.82
270,T03,S4_CR,S4,CR,1,173.3,9.692,1.49,1.15,2.44,3,0,26.96
271,T04,S3_CR,S3,CR,1,194.2,8.135,1.57,1.15,9.93,3,0,22.76
272,T07,S1_CR,S1,CR,1,174.2,8.767,0.8,1.15,2.88,1,1,40.89
273,T08,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,5.72,4,0,23.67
274,T05,S3_D2,S3,D2,1,207.9,6.362,1.39,1.35,9.52,3,1,35.05
275,T02,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,11.25,4,0,21.84
276,T08,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,4.89,1,0,19.34
277,T07,S1_CR,S1,CR,1,198.2,8.767,0.8,1.15,6.01,3,0,27.59
278,T05,S2_CR,S2,CR,1,183.5,8.334,1.39,1.15,9.64,3,0,29.93
279,T04,S3_CR,S3,CR,1,176.4,8.135,1.57,1.15,2.58,2,0,21.4
280,T04,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,6.66,4,0,25.47
281,T09,S4_D2,S4,D2,1,183.9,6.638,1.49,1.35,5.96,3,0,29.56
282,T09,S1_CR,S1,CR,1,185.6,8.767,0.8,1.15,3.31,1,0,27.78
283,T04,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,2.96,2,0,18.27
284,T07,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,10.89,4,0,23.51
285,T01,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,6.78,4,0,22.9
286,T05,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,8.43,1,0,20.73
287,T09,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,1.26,3,0,24.68
288,T02,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,10.31,1,0,22.09
289,T08,S3_D2,S3,D2,1,189.4,6.362,1.39,1.35,10.56,2,0,30.8
290,T03,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,7.82,4,0,23.43
291,T02,S3_D2,S3,D2,1,204.0,6.362,1.39,1.35,9.88,2,0,27.82
292,T06,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,8.51,1,0,16.52
293,T01,S1_CR,S1,CR,1,191.2,8.767,0.8,1.15,8.7,1,0,28.49
294,T09,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,5.46,2,0,21.58
