block_id,x,y,z,tonnage_kt,ore_grade_pct,waste_ratio,mining_cost_t,processing_cost_t,revenue_per_t,slope_constraint,period_available,ghg_kg_co2_per_t,stripping_ratio,npv_per_t
B0070,200,250,-20,579.7,0.751,1.51,3.58,10.06,75.4,2,2,29.82,1.44,61.76
B0071,700,100,-100,479.2,0.721,2.67,3.7,11.79,80.59,3,2,28.78,1.65,65.1
B0072,850,450,-20,526.0,0.834,0.91,4.59,9.21,87.86,1,5,24.17,1.93,74.06
B0073,750,150,-10,493.4,1.031,3.07,3.51,10.31,104.25,3,5,22.72,3.71,90.43
B0074,250,50,-70,502.5,0.884,4.0,4.41,9.48,80.62,2,7,26.32,3.72,66.73
B0075,900,300,-100,512.8,0.628,3.11,4.03,12.08,81.18,1,4,24.07,2.63,65.07
B0076,450,950,-30,349.8,1.054,2.15,4.79,12.65,102.92,1,4,26.55,3.93,85.48
B0077,100,0,-30,472.3,1.212,2.25,4.6,12.19,81.11,1,2,33.84,2.46,64.32
B0078,750,400,-20,533.8,0.639,3.78,4.34,14.0,96.38,1,2,27.94,3.87,78.04
B0079,800,0,-10,516.6,0.51,3.19,3.86,13.75,70.49,1,4,28.29,2.93,52.88
B0080,150,0,-100,471.7,0.826,2.19,4.16,13.31,84.72,3,2,24.41,2.69,67.25
B0081,400,300,-90,459.4,0.824,2.95,3.63,12.09,107.36,3,2,35.79,1.93,91.64
B0082,150,400,-50,482.3,0.947,2.43,3.88,14.53,61.59,3,10,24.65,2.51,43.18
B0083,200,750,-60,488.7,0.843,2.09,4.89,10.65,83.92,2,4,25.27,2.15,68.38
B0084,150,850,-80,606.4,0.721,3.99,3.56,11.02,66.82,1,3,30.37,1.73,52.24
B0085,150,900,-80,452.9,0.666,2.45,3.31,11.52,92.65,1,10,22.71,1.86,77.82
B0086,750,650,-20,661.8,0.816,2.7,4.03,12.35,94.23,3,4,29.02,2.69,77.85
B0087,550,650,-100,508.5,0.999,3.56,4.16,15.56,62.27,2,10,24.86,1.65,42.55
B0088,250,200,-70,583.8,0.724,3.35,3.9,13.96,80.7,3,7,36.88,3.08,62.84
B0089,900,250,-40,557.5,0.92,2.86,3.99,10.35,58.57,1,3,23.39,2.17,44.23
B0090,250,900,-60,511.2,0.721,2.02,3.84,15.75,86.78,2,1,25.38,2.41,67.19
B0091,650,250,-20,515.5,0.696,2.41,4.9,10.15,93.45,3,4,25.59,3.05,78.4
B0092,400,200,-10,569.7,0.986,2.56,4.98,12.39,97.49,3,7,28.84,1.29,80.12
B0093,100,500,-30,618.1,1.039,2.41,3.22,14.33,100.43,2,2,28.94,0.5,82.88
B0094,500,300,-100,445.9,0.856,2.87,4.58,12.97,93.46,2,10,23.06,1.77,75.91
B0095,300,450,-30,427.4,0.642,2.2,2.5,11.72,70.6,2,10,26.84,3.21,56.38
B0096,500,850,-10,488.1,0.705,1.82,4.9,13.68,92.01,1,2,28.99,3.03,73.43
B0097,850,350,-10,479.1,0.557,1.8,4.3,15.2,94.85,3,6,32.7,1.44,75.35
B0098,900,0,-60,548.4,0.91,3.19,4.03,12.7,91.6,2,5,24.41,1.9,74.87
B0099,850,700,-50,504.7,0.783,3.71,3.36,12.28,72.07,1,4,17.82,2.58,56.43
B0100,700,500,-100,487.2,0.82,2.68,4.58,14.06,94.55,2,6,28.9,2.27,75.91
B0101,900,850,-60,416.2,0.941,2.34,3.25,10.19,118.14,1,9,24.02,2.94,104.7
B0102,750,100,-70,561.8,0.664,2.74,5.06,10.43,115.33,1,4,32.3,2.88,99.84
B0103,300,900,-20,552.8,0.944,1.06,4.37,12.89,103.14,2,5,22.31,3.72,85.88
B0104,450,600,-70,461.0,1.044,2.11,4.47,13.71,77.02,2,9,24.01,3.38,58.84
B0105,900,900,-50,462.5,0.591,3.42,3.93,8.42,69.8,1,1,32.89,2.68,57.45
B0106,500,500,-10,560.7,0.934,2.98,4.72,13.2,74.21,1,10,18.17,2.63,56.29
B0107,200,200,-80,516.2,0.868,2.17,3.05,12.7,87.88,2,3,24.29,3.31,72.13
B0108,250,600,-20,462.8,0.935,2.67,4.12,13.06,100.06,1,1,30.32,4.05,82.88
B0109,350,100,-30,598.0,0.905,2.02,3.27,12.2,97.89,3,5,15.0,1.58,82.42
B0110,400,950,-20,401.4,0.72,2.9,4.5,8.89,78.35,1,5,19.91,2.33,64.96
B0111,550,800,-10,563.7,0.962,3.15,3.65,12.18,74.04,3,3,26.72,1.71,58.21
B0112,250,100,-50,693.9,0.724,2.9,4.27,15.42,74.35,1,5,25.36,3.45,54.66
B0113,500,150,-30,345.6,0.922,2.39,3.89,13.83,75.13,3,1,22.85,3.08,57.41
B0114,50,0,-100,402.6,1.077,2.83,4.5,10.54,104.78,3,2,25.26,1.85,89.74
B0115,50,300,-100,634.6,0.615,1.93,4.4,14.03,74.64,1,2,34.72,2.94,56.21
B0116,950,950,-10,507.2,0.69,3.12,3.88,14.42,98.33,3,10,33.09,1.88,80.03
B0117,100,650,-70,517.5,0.675,3.7,4.28,10.95,49.3,1,1,25.98,2.67,34.07
B0118,300,500,-100,549.8,0.872,3.01,3.6,11.35,89.24,2,6,23.11,3.69,74.29
B0119,550,900,-40,377.3,0.947,2.48,5.59,8.45,71.01,1,7,39.6,2.96,56.97
B0120,150,600,-70,576.1,0.775,0.87,4.45,10.95,41.08,1,2,32.72,3.61,25.68
B0121,900,350,-100,414.3,0.696,2.17,4.17,11.19,61.9,2,1,38.15,3.67,46.54
B0122,850,200,-100,566.6,1.057,3.64,2.77,13.51,82.56,3,5,17.39,1.72,66.28
B0123,150,850,-50,338.1,0.984,2.56,4.54,13.31,96.17,1,9,22.12,3.95,78.32
B0124,700,650,-50,538.0,0.519,2.17,3.1,13.33,95.86,1,7,27.58,1.69,79.43
B0125,200,800,-50,514.0,0.816,1.65,3.96,11.42,107.36,3,5,28.51,0.81,91.98
B0126,150,550,-20,532.5,0.711,3.44,3.92,12.53,74.3,2,5,30.01,2.31,57.85
B0127,400,350,-40,628.3,0.864,2.68,5.31,16.01,88.26,3,9,25.71,1.34,66.94
B0128,750,100,-40,482.3,0.939,3.39,4.37,15.0,102.77,2,10,31.62,2.28,83.4
B0129,800,250,-100,636.5,0.956,0.75,3.53,15.54,105.74,3,6,25.74,2.93,86.67
B0130,400,550,-30,385.5,0.769,3.04,3.47,13.35,97.7,3,10,33.56,4.04,80.88
B0131,650,800,-50,675.1,0.795,1.67,4.42,15.61,102.29,2,6,30.65,1.77,82.26
B0132,700,150,-60,448.2,0.793,2.79,4.76,15.65,87.0,2,3,21.52,1.78,66.59
B0133,600,50,-50,555.8,0.669,2.28,4.14,14.95,83.41,3,3,25.81,2.83,64.32
B0134,100,0,-20,550.9,0.773,2.27,4.05,14.26,69.7,3,9,27.05,2.02,51.39
B0135,400,900,-70,473.3,0.586,2.88,4.22,10.41,71.63,2,9,22.22,2.82,57.0
B0136,50,850,-40,583.7,0.805,2.34,4.94,14.73,88.79,1,5,23.41,4.43,69.12
B0137,900,50,-80,525.6,0.7,1.78,4.5,9.38,62.42,3,10,25.74,0.99,48.54
B0138,850,300,-90,545.0,0.872,2.32,4.2,12.85,102.75,3,6,35.61,2.81,85.7
B0139,850,500,-80,455.4,0.937,2.64,3.78,15.39,86.36,1,7,30.93,1.53,67.19
B0140,800,550,-40,544.8,0.509,2.31,4.71,12.86,106.65,2,9,29.44,1.94,89.08
B0141,400,900,-50,440.8,0.83,2.2,4.6,9.06,80.35,3,7,20.31,2.59,66.69
B0142,150,250,-80,465.2,1.093,1.73,4.95,10.48,81.44,2,5,30.95,2.51,66.01
B0143,500,400,-70,423.5,0.761,3.68,4.75,12.62,75.15,1,8,22.53,2.57,57.78
B0144,250,750,-100,566.9,0.537,2.01,4.46,9.36,71.68,2,9,28.12,2.87,57.86
B0145,700,900,-40,496.2,0.669,3.72,4.34,13.77,83.5,2,3,37.6,1.99,65.39
B0146,150,700,-60,426.3,0.876,3.34,3.75,11.53,94.72,1,3,34.26,3.79,79.44
B0147,150,50,-100,578.3,0.924,3.66,4.44,13.78,79.88,3,5,33.19,1.68,61.66
B0148,900,650,-70,338.8,0.707,1.82,3.9,14.07,91.44,2,2,24.01,2.61,73.47
B0149,150,850,-70,442.4,0.855,2.49,3.26,11.33,70.57,3,8,24.92,3.38,55.98
B0150,150,200,-40,468.9,0.995,2.48,5.34,17.62,61.7,1,10,28.08,1.78,38.74
B0151,700,250,-50,449.1,0.82,2.77,3.64,11.21,98.91,1,5,28.63,2.18,84.06
B0152,150,950,-10,581.5,0.917,2.41,3.71,12.32,108.07,3,5,29.34,2.38,92.04
B0153,700,250,-10,582.7,0.885,2.23,4.29,13.44,93.8,1,6,21.78,2.25,76.07
B0154,650,950,-70,551.6,0.844,2.51,4.32,15.15,62.44,3,8,32.55,2.09,42.97
B0155,700,550,-60,397.1,0.527,2.08,4.31,13.02,81.77,2,8,30.73,2.92,64.44
B0156,500,200,-90,461.9,0.859,2.11,3.96,11.69,74.58,1,8,30.24,2.52,58.93
B0157,400,300,-40,516.7,0.346,3.08,4.51,14.91,85.93,3,1,19.44,2.28,66.51
B0158,550,50,-20,562.7,0.835,2.72,4.89,12.38,67.35,1,1,25.69,1.59,50.08
B0159,850,400,-20,481.6,0.646,0.78,3.67,11.63,102.24,1,10,18.83,0.81,86.94
B0160,650,200,-40,522.9,0.781,3.4,3.48,12.92,80.18,3,1,21.22,3.42,63.78
B0161,100,400,-40,556.7,0.863,3.2,2.9,11.72,95.06,3,8,25.8,2.35,80.44
B0162,950,900,-30,574.5,1.2,2.16,3.94,13.49,94.79,3,10,22.89,1.59,77.36
B0163,250,300,-60,532.0,0.709,2.93,4.25,12.82,81.79,3,4,23.66,3.31,64.72
B0164,100,550,-100,467.4,0.77,1.69,4.41,12.33,63.03,1,3,26.19,0.67,46.29
B0165,50,350,-10,488.6,0.916,2.02,3.86,12.86,107.1,3,2,29.59,4.7,90.38
B0166,500,550,-10,462.8,0.578,2.55,5.02,10.69,113.15,3,10,27.61,3.17,97.44
B0167,550,200,-10,568.6,1.005,1.71,4.69,13.24,75.95,3,9,29.87,1.32,58.02
B0168,750,750,-80,488.7,0.858,3.65,4.31,9.21,66.13,2,4,31.63,1.84,52.61
B0169,600,400,-80,664.4,0.832,1.89,4.02,8.68,106.14,1,8,24.21,2.72,93.44
B0170,750,100,-80,479.9,0.987,3.38,3.5,12.46,81.94,2,1,23.44,2.43,65.98
B0171,900,350,-60,412.3,0.669,0.81,3.71,9.51,70.26,3,1,25.37,3.21,57.04
B0172,50,500,-40,711.4,0.7,2.59,3.72,10.3,67.04,1,6,29.54,3.42,53.02
B0173,400,850,-20,578.9,0.796,3.56,4.35,13.69,98.03,3,9,33.58,1.79,79.99
B0174,150,450,-70,412.1,0.633,1.65,4.39,13.58,80.05,2,1,18.72,2.33,62.08
B0175,500,0,-30,417.2,0.967,2.35,3.26,13.1,96.83,1,5,29.77,2.44,80.47
B0176,450,700,-10,669.7,0.694,1.77,4.47,13.18,79.52,3,9,35.59,0.89,61.87
B0177,300,450,-50,423.5,0.848,2.61,4.4,13.23,64.7,1,8,28.02,2.66,47.07
B0178,200,550,-80,498.1,0.743,2.41,4.43,14.34,80.95,2,8,39.34,1.0,62.18
B0179,750,900,-10,540.4,0.761,1.74,4.16,12.15,61.53,1,9,26.01,3.23,45.22
B0180,300,100,-60,592.3,0.651,3.84,3.9,10.37,83.07,2,7,28.49,1.89,68.8
B0181,800,0,-30,664.8,0.702,2.61,5.03,11.05,72.28,2,9,25.58,2.38,56.2
B0182,500,100,-100,559.5,0.712,4.25,3.51,12.12,71.63,2,8,31.81,2.33,56.0
B0183,350,0,-80,650.0,0.751,1.87,2.96,12.75,99.65,1,6,23.64,1.7,83.94
B0184,50,150,-30,591.8,0.719,2.25,3.7,12.32,83.35,1,5,22.32,2.22,67.33
B0185,350,450,-40,592.8,0.671,1.15,4.88,8.23,52.74,1,3,22.85,2.19,39.63
B0186,750,700,-100,554.6,0.527,0.5,4.29,8.69,81.65,1,3,23.18,2.83,68.67
B0187,200,400,-70,446.7,0.741,3.67,3.65,13.99,102.63,3,7,26.92,0.69,84.99
B0188,350,650,-60,649.1,0.909,1.64,4.55,10.43,104.97,3,1,31.39,2.08,89.99
B0189,50,800,-60,474.3,0.616,2.54,4.29,9.84,91.6,3,10,34.71,4.81,77.47
B0190,950,950,-60,575.0,1.044,1.33,4.26,13.74,72.98,1,6,32.66,2.77,54.98
B0191,600,950,-70,352.2,0.523,3.39,3.54,13.31,86.94,2,5,24.25,2.29,70.09
B0192,550,0,-20,555.5,0.55,2.25,4.62,9.01,92.03,2,1,19.7,2.76,78.4
B0193,100,550,-100,616.7,0.505,2.71,3.74,14.22,112.01,3,5,24.54,2.04,94.05
B0194,100,900,-40,409.2,1.003,2.35,4.99,10.72,70.81,3,3,27.2,3.63,55.1
B0195,50,200,-100,538.5,0.756,3.3,3.37,9.03,76.93,1,6,35.6,2.9,64.53
B0196,650,750,-80,357.4,1.077,3.65,4.38,16.11,84.84,1,1,28.26,1.42,64.35
B0197,650,400,-10,503.7,0.526,2.09,3.47,9.36,72.39,3,9,22.86,2.62,59.56
B0198,100,650,-60,595.2,1.252,3.13,3.37,9.92,80.36,1,2,39.16,2.43,67.07
B0199,350,400,-30,459.0,0.665,2.15,4.47,15.03,76.9,3,8,30.6,3.29,57.4
B0200,500,650,-40,539.4,0.776,3.27,3.65,11.68,104.17,3,6,23.32,1.42,88.84
B0201,700,650,-40,532.9,0.785,1.76,3.94,9.98,87.3,1,3,28.3,2.19,73.38
B0202,800,300,-60,456.9,0.866,2.6,3.55,10.92,87.87,1,2,20.98,1.88,73.4
B0203,700,400,-10,463.1,0.829,2.27,5.1,11.66,83.08,3,9,34.84,1.41,66.32
B0204,450,550,-40,551.6,0.828,3.22,3.85,11.22,72.74,3,2,32.97,1.52,57.67
B0205,300,400,-10,571.1,1.02,1.75,4.67,9.31,103.04,2,4,38.3,2.15,89.06
B0206,750,650,-80,378.4,0.733,2.19,3.77,15.62,91.98,3,2,29.25,3.82,72.59
B0207,750,900,-70,683.0,0.728,2.81,3.22,16.3,89.59,1,5,24.22,2.49,70.07
B0208,850,50,-70,469.8,1.08,2.91,4.17,10.67,100.82,1,2,21.55,2.91,85.98
B0209,0,450,-90,551.3,0.844,1.94,4.7,10.57,78.3,1,1,34.57,2.18,63.03
B0210,700,700,-60,546.7,0.714,3.01,4.08,10.08,109.27,2,3,27.87,1.67,95.11
B0211,300,750,-20,516.0,0.945,4.8,4.02,14.55,79.57,2,4,18.41,2.3,61.0
B0212,350,700,-90,464.2,0.788,2.5,4.32,11.59,100.51,1,5,24.46,2.42,84.6
B0213,600,200,-100,461.7,1.152,1.19,4.62,9.3,68.28,3,4,30.85,3.66,54.36
B0214,0,200,-10,472.0,0.649,2.59,4.31,9.15,84.14,3,2,24.73,3.1,70.68
B0215,150,50,-30,454.2,0.876,3.08,3.67,11.94,100.94,3,2,21.08,2.65,85.33
B0216,100,450,-60,351.6,0.636,2.25,3.76,15.3,89.51,3,2,30.57,1.21,70.45
B0217,550,150,-70,559.9,0.788,2.83,4.53,11.56,107.09,1,6,36.46,2.9,91.0
B0218,800,0,-80,436.3,0.69,2.04,3.68,11.09,78.38,2,10,29.68,3.23,63.61
B0219,900,550,-40,722.5,0.821,3.18,4.03,9.88,93.79,3,3,27.85,2.18,79.88
B0220,850,0,-40,550.2,0.749,2.85,4.73,11.67,68.05,1,3,40.35,2.97,51.65
B0221,0,950,-20,503.4,0.672,2.88,4.3,11.54,94.28,1,6,23.88,3.12,78.44
B0222,250,400,-70,550.2,0.637,3.08,4.13,12.81,83.69,3,1,26.93,2.3,66.75
B0223,250,400,-80,413.8,0.825,2.48,3.43,11.88,66.87,3,6,26.04,2.26,51.56
B0224,700,750,-50,659.6,0.754,2.58,3.26,12.82,86.68,3,5,23.13,1.66,70.6
B0225,850,0,-50,477.7,0.933,3.24,4.44,12.38,107.18,2,3,24.36,3.27,90.36
B0226,500,900,-60,615.7,0.626,2.97,4.24,8.36,84.23,3,9,27.24,3.31,71.63
B0227,450,0,-90,544.3,0.866,2.47,3.4,12.18,90.46,3,8,18.57,3.38,74.88
B0228,300,200,-90,649.2,0.87,2.11,4.79,12.65,87.03,1,3,29.93,2.64,69.59
B0229,650,900,-60,525.0,1.123,1.12,3.47,14.21,85.2,2,5,32.75,2.52,67.52
B0230,750,400,-80,438.5,0.854,2.69,3.75,12.15,71.68,1,1,27.71,3.06,55.78
B0231,250,900,-80,544.9,0.898,2.34,3.88,10.23,91.87,1,5,35.18,2.87,77.76
B0232,600,650,-10,514.9,0.545,2.81,5.09,8.0,72.12,1,2,24.35,2.53,59.03
B0233,850,850,-30,528.1,0.85,1.69,4.48,13.52,112.72,3,4,28.58,3.37,94.72
B0234,0,150,-100,528.6,0.609,3.44,4.31,10.05,70.41,3,3,29.05,3.87,56.05
B0235,500,150,-60,397.4,0.55,3.42,3.8,11.79,105.05,3,9,26.86,4.3,89.46
B0236,150,750,-60,557.3,0.782,3.09,3.76,12.7,62.36,3,5,26.69,1.64,45.9
B0237,450,600,-20,358.7,0.884,2.73,3.6,12.0,84.55,3,8,29.74,2.79,68.95
B0238,100,100,-100,547.6,0.934,1.89,5.3,12.51,77.53,1,1,23.33,2.91,59.72
B0239,700,850,-100,543.3,1.107,4.29,3.6,12.28,72.43,2,6,29.84,2.75,56.55
B0240,950,150,-80,588.4,0.723,3.26,3.48,10.45,95.17,2,7,24.13,3.81,81.24
B0241,200,200,-50,501.9,0.682,2.49,3.99,9.07,94.56,2,4,30.26,2.83,81.5
B0242,750,900,-20,384.0,0.669,1.51,5.27,14.57,64.89,3,7,21.69,4.64,45.05
B0243,450,650,-10,486.9,0.718,2.44,4.28,13.6,87.8,1,6,25.52,3.27,69.92
B0244,750,850,-40,492.4,0.697,2.39,3.95,9.94,89.66,2,6,32.79,1.25,75.77
B0245,700,750,-10,575.2,1.007,3.02,3.61,9.36,88.93,2,3,22.9,2.89,75.96
B0246,950,200,-20,632.9,1.126,2.36,4.7,12.78,82.13,2,3,23.43,2.13,64.65
B0247,150,350,-90,605.9,0.864,0.79,4.96,10.39,71.68,3,2,28.7,3.67,56.33
B0248,600,900,-60,481.5,0.865,1.73,3.54,10.18,105.45,3,3,29.77,2.48,91.73
B0249,850,850,-100,447.2,0.787,3.28,3.86,11.24,88.41,2,7,33.7,1.93,73.31
B0250,800,200,-30,608.8,0.836,1.81,3.76,12.29,67.19,3,2,24.39,2.7,51.14
B0251,750,650,-80,429.1,1.002,1.68,3.83,12.92,111.75,3,5,20.23,2.25,95.0
B0252,500,450,-40,429.8,0.647,3.02,4.23,15.24,48.83,2,4,26.27,1.58,29.36
B0253,300,200,-100,558.5,0.716,2.62,3.69,14.37,66.46,3,4,31.8,1.58,48.4
B0254,50,600,-50,419.2,0.839,1.59,4.08,9.83,89.53,1,7,23.52,3.19,75.62
B0255,900,550,-20,462.6,0.587,3.3,3.75,10.51,79.09,1,1,24.58,2.25,64.83
B0256,700,850,-60,520.0,0.834,1.75,3.93,13.35,87.73,2,1,24.57,3.39,70.45
B0257,0,500,-40,551.7,0.585,2.79,4.28,12.11,78.61,3,7,32.03,0.9,62.22
B0258,950,0,-40,540.4,0.858,3.26,4.55,13.96,81.04,2,4,26.63,2.34,62.53
B0259,900,50,-30,476.5,0.809,2.36,4.33,10.02,67.98,3,1,27.93,3.64,53.63
B0260,800,50,-60,440.4,0.825,2.79,4.31,12.09,88.51,1,2,21.4,3.09,72.11
B0261,0,600,-70,383.1,0.849,1.23,6.03,12.89,70.44,3,4,33.22,3.01,51.52
B0262,250,400,-100,504.6,0.965,3.18,4.35,15.27,88.37,1,5,26.69,2.95,68.75
B0263,300,750,-30,471.9,0.739,2.43,5.05,11.45,97.43,3,7,21.41,1.49,80.93
B0264,650,750,-50,656.0,0.805,3.5,4.38,14.02,94.38,1,10,32.49,2.91,75.98
B0265,0,400,-100,432.0,0.705,1.35,3.84,11.11,82.71,2,2,33.54,3.36,67.76
B0266,700,300,-60,510.8,0.83,1.59,4.95,12.32,69.49,3,4,33.54,1.75,52.22
B0267,750,350,-10,431.1,0.823,2.64,4.88,10.51,72.06,2,5,31.74,1.62,56.67
B0268,200,450,-90,386.0,0.634,1.59,4.41,12.0,76.89,3,4,20.91,3.16,60.48
B0269,200,600,-50,514.0,0.955,2.44,4.5,10.68,104.78,2,10,29.9,2.66,89.6
